,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,latitude,longitude
233,30171,N,O'Hare (Terminal Arrival),O'Hare,O'Hare (Blue Line),40890,True,False,True,False,False,False,False,False,False,False,"(41.97766526, -87.90422307)",34.0,16197,75.0,668.0,29.0,41.97766526,-87.90422307
234,30253,N,Paulina (Kimball-bound),Paulina,Paulina (Brown Line),41310,True,False,False,False,True,False,False,False,False,False,"(41.943623, -87.670907)",16.0,4449,57.0,239.0,18.0,41.943623,-87.670907
235,30254,S,Paulina (Loop-bound),Paulina,Paulina (Brown Line),41310,True,False,False,False,True,False,False,False,False,False,"(41.943623, -87.670907)",16.0,4449,57.0,239.0,18.0,41.943623,-87.670907
236,30200,W,Polk (54th/Cermak-bound),Polk,Polk (Pink Line),41030,True,False,False,False,False,False,False,False,True,False,"(41.871551, -87.66953)",48.0,21184,29.0,5.0,46.0,41.871551,-87.66953
237,30199,E,Polk (Loop-bound),Polk,Polk (Pink Line),41030,True,False,False,False,False,False,False,False,True,False,"(41.871551, -87.66953)",48.0,21184,29.0,5.0,46.0,41.871551,-87.66953
238,30185,N,Pulaski (Loop-bound),Pulaski,Pulaski (Orange Line),40960,True,False,False,False,False,False,False,False,False,True,"(41.799756, -87.724493)",35.0,22248,60.0,793.0,6.0,41.799756,-87.724493
239,30186,S,Pulaski (Midway-bound),Pulaski,Pulaski (Orange Line),40960,True,False,False,False,False,False,False,False,False,True,"(41.799756, -87.724493)",35.0,22248,60.0,793.0,6.0,41.799756,-87.724493
240,30029,W,Pulaski (54th/Cermak-bound),Pulaski,Pulaski (Pink Line),40150,True,False,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)",36.0,21569,30.0,752.0,14.0,41.853732,-87.724311
241,30028,E,Pulaski (Loop-bound),Pulaski,Pulaski (Pink Line),40150,True,False,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)",36.0,21569,30.0,752.0,14.0,41.853732,-87.724311
242,30180,W,Pulaski (Forest Pk-bound),Pulaski,Pulaski (Blue Line),40920,False,False,True,False,False,False,False,False,False,False,"(41.873797, -87.725663)",36.0,21572,27.0,675.0,14.0,41.873797,-87.725663
243,30179,E,Pulaski (O'Hare-bound),Pulaski,Pulaski (Blue Line),40920,False,False,True,False,False,False,False,False,False,False,"(41.873797, -87.725663)",36.0,21572,27.0,675.0,14.0,41.873797,-87.725663
244,30005,E,Pulaski (63rd-bound),Pulaski,Pulaski (Green Line),40030,True,False,False,True,False,False,False,False,False,False,"(41.885412, -87.725404)",11.0,21572,27.0,658.0,23.0,41.885412,-87.725404
245,30006,W,Pulaski (Harlem-bound),Pulaski,Pulaski (Green Line),40030,True,False,False,True,False,False,False,False,False,False,"(41.885412, -87.725404)",11.0,21572,27.0,658.0,23.0,41.885412,-87.725404
246,30007,N,Quincy/Wells (Inner Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink Lines)",40040,False,False,False,False,False,False,True,False,True,True,"(41.878723, -87.63374)",22.0,14912,38.0,92.0,36.0,41.878723,-87.63374
247,30008,S,Quincy/Wells (Outer Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink Lines)",40040,False,False,False,False,True,False,False,False,False,False,"(41.878723, -87.63374)",22.0,14912,38.0,92.0,36.0,41.878723,-87.63374
248,30093,W,Racine (Forest Pk-bound),Racine,Racine (Blue Line),40470,False,False,True,False,False,False,False,False,False,False,"(41.87592, -87.659458)",48.0,14917,29.0,88.0,23.0,41.87592,-87.659458
249,30092,E,Racine (O'Hare-bound),Racine,Racine (Blue Line),40470,False,False,True,False,False,False,False,False,False,False,"(41.87592, -87.659458)",48.0,14917,29.0,88.0,23.0,41.87592,-87.659458
250,30119,E,Ridgeland (63rd-bound),Ridgeland,Ridgeland (Green Line),40610,False,False,False,True,False,False,False,False,False,False,"(41.887159, -87.783661)",,26615,,,,41.887159,-87.783661
251,30120,W,Ridgeland (Harlem-bound),Ridgeland,Ridgeland (Green Line),40610,False,False,False,True,False,False,False,False,False,False,"(41.887159, -87.783661)",,26615,,,,41.887159,-87.783661
252,30195,N,Rockwell (Kimball-bound),Rockwell,Rockwell (Brown Line),41010,True,False,False,False,True,False,False,False,False,False,"(41.966115, -87.6941)",13.0,21849,6.0,666.0,18.0,41.966115,-87.6941
253,30196,S,Rockwell (Loop-bound),Rockwell,Rockwell (Brown Line),41010,True,False,False,False,True,False,False,False,False,False,"(41.966115, -87.6941)",13.0,21849,6.0,666.0,18.0,41.966115,-87.6941
254,30080,N,Roosevelt (Loop-Harlem-bound),Roosevelt,"Roosevelt (Red, Orange & Green Lines)",41400,True,False,False,True,False,False,False,False,False,True,"(41.867405, -87.62659)",48.0,14913,34.0,374.0,9.0,41.867405,-87.62659
255,30269,N,Roosevelt (Howard-bound),Roosevelt,"Roosevelt (Red, Orange & Green Lines)",41400,True,True,False,False,False,False,False,False,False,False,"(41.867368, -87.627402)",48.0,14913,34.0,374.0,9.0,41.867368,-87.627402
256,30081,S,Roosevelt (Midway-63rd-bound),Roosevelt,"Roosevelt (Red, Orange & Green Lines)",41400,True,False,False,True,False,False,False,False,False,True,"(41.867405, -87.62659)",48.0,14913,34.0,374.0,9.0,41.867405,-87.62659
257,30270,S,Roosevelt (95th-bound),Roosevelt,"Roosevelt (Red, Orange & Green Lines)",41400,True,True,False,False,False,False,False,False,False,False,"(41.867368, -87.627402)",48.0,14913,34.0,374.0,9.0,41.867368,-87.627402
258,30160,S,Rosemont (Forest Pk-bound),Rosemont,Rosemont (Blue Line),40820,True,False,True,False,False,False,False,False,False,False,"(41.983507, -87.859388)",,16197,,,,41.983507,-87.859388
259,30159,N,Rosemont (O'Hare-bound),Rosemont,Rosemont (Blue Line),40820,True,False,True,False,False,False,False,False,False,False,"(41.983507, -87.859388)",,16197,,,,41.983507,-87.859388
260,30155,N,Sedgwick (Kimball-Linden-bound),Sedgwick,Sedgwick (Brown & Purple Lines),40800,True,False,False,False,True,False,True,False,False,False,"(41.910409, -87.639302)",51.0,14926,37.0,309.0,11.0,41.910409,-87.639302
261,30156,S,Sedgwick (Loop-bound),Sedgwick,Sedgwick (Brown & Purple Lines),40800,True,False,False,False,True,False,True,False,False,False,"(41.910409, -87.639302)",51.0,14926,37.0,309.0,11.0,41.910409,-87.639302
262,30017,S,Sheridan (95th-bound),Sheridan,Sheridan (Red Line),40080,False,True,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",38.0,21186,57.0,83.0,39.0,41.953775,-87.654929
263,30016,N,Sheridan (Howard-bound),Sheridan,Sheridan (Red Line),40080,False,True,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",38.0,21186,57.0,83.0,39.0,41.953775,-87.654929
264,30293,N,Sheridan (Howard-Linden-bound),Sheridan,Sheridan (Red Line),40080,False,False,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",38.0,21186,57.0,83.0,39.0,41.953775,-87.654929
265,30294,S,Sheridan (Loop-bound),Sheridan,Sheridan (Red Line),40080,False,False,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",38.0,21186,57.0,83.0,39.0,41.953775,-87.654929
266,30164,S,South Blvd (Howard-Loop-bound),South Boulevard,South Boulevard (Purple Line),40840,False,False,False,False,False,True,True,False,False,False,"(42.027612, -87.678329)",,26609,,,,42.027612,-87.678329
