,id,name,city,latitude,longitude,dpcapacity,online_date,date
234,282,Halsted St & Maxwell St,Chicago,41.864883,-87.647071,15,9/11/2013 14:02:23,2013-09-11 14:02:23
236,108,Halsted St & Polk St,Chicago,41.87184,-87.64664,19,7/18/2013 16:41:10,2013-07-18 16:41:10
237,55,Halsted St & Roosevelt Rd,Chicago,41.867323999999996,-87.648625,23,6/25/2013 11:33:51,2013-06-25 11:33:51
238,299,Halsted St & Roscoe St,Chicago,41.943670000000004,-87.64895,15,9/18/2013 14:50:25,2013-09-18 14:50:25
239,224,Halsted St & Willow St,Chicago,41.913778,-87.64884,19,8/16/2013 17:25:17,2013-08-16 17:25:17
240,349,Halsted St & Wrightwood Ave,Chicago,41.929142999999996,-87.649077,15,10/10/2013 12:40:57,2013-10-10 12:40:57
241,220,Hampden Ct & Diversey Pkwy,Chicago,41.93262,-87.642385,23,8/16/2013 11:58:39,2013-08-16 11:58:39
243,261,Hermitage Ave & Polk St,Chicago,41.871514000000005,-87.669886,15,9/3/2013 13:15:56,2013-09-03 13:15:56
246,147,Indiana Ave & 26th St,Chicago ,41.845687,-87.62248100000001,15,7/19/2013 09:22:07,2013-07-19 09:22:07
247,272,Indiana Ave & 31st St,Chicago,41.838842,-87.62185699999999,11,9/9/2013 16:51:27,2013-09-09 16:51:27
248,201,Indiana Ave & 40th St,Chicago,41.82168,-87.6216,15,8/10/2013 15:47:52,2013-08-10 15:47:52
249,255,Indiana Ave & Roosevelt Rd,Chicago,41.867888,-87.623041,39,8/31/2013 10:38:40,2013-08-31 10:38:40
250,73,Jefferson St & Monroe St,Chicago,41.880421999999996,-87.642746,19,6/25/2013 13:08:15,2013-06-25 13:08:15
251,352,Jeffery Blvd & 67th St,Chicago,41.77351755125,-87.57714282549999,15,10/28/2013 13:24:15,2013-10-28 13:24:15
252,11,Jeffery Blvd & 71st St,Chicago,41.76663823695,-87.5764501141,11,6/21/2013 09:39:15,2013-06-21 09:39:15
262,260,Kedzie Ave & Milwaukee Ave,Chicago,41.929567,-87.70785699999999,27,9/3/2013 12:41:21,2013-09-03 12:41:21
263,290,Kedzie Ave & Palmer Ct,Chicago,41.921525,-87.70732199999999,15,9/13/2013 10:50:18,2013-09-13 10:50:18
271,322,Kimbark Ave & 53rd St,Chicago,41.799568,-87.594747,19,9/20/2013 16:51:39,2013-09-20 16:51:39
272,74,Kingsbury St & Erie St,Chicago,41.893882,-87.641711,23,6/26/2013 12:19:56,2013-06-26 12:19:56
273,133,Kingsbury St & Kinzie St,Chicago,41.88917683258,-87.6385057718,27,7/18/2013 22:47:21,2013-07-18 22:47:21
279,267,Lake Park Ave & 47th St,Chicago,41.809443,-87.591875,15,9/4/2013 15:57:31,2013-09-04 15:57:31
281,345,Lake Park Ave & 56th St,Chicago,41.793242,-87.58778199999999,19,10/4/2013 11:37:12,2013-10-04 11:37:12
282,334,Lake Shore Dr & Belmont Ave,Chicago,41.940775,-87.63919200000001,19,9/26/2013 10:16:21,2013-09-26 10:16:21
283,329,Lake Shore Dr & Diversey Pkwy,Chicago,41.932684,-87.63625,15,9/25/2013 09:49:00,2013-09-25 09:49:00
284,76,Lake Shore Dr & Monroe St,Chicago,41.880958,-87.616743,39,6/26/2013 15:26:11,2013-06-26 15:26:11
285,268,Lake Shore Dr & North Blvd,Chicago,41.911722,-87.626804,39,9/5/2013 09:48:05,2013-09-05 09:48:05
286,99,Lake Shore Dr & Ohio St,Chicago,41.89257,-87.614492,19,7/15/2013 15:12:09,2013-07-15 15:12:09
287,157,Lake Shore Dr & Wellington Ave,Chicago ,41.936669,-87.636794,15,7/19/2013 09:36:22,2013-07-19 09:36:22
289,313,Lakeview Ave & Fullerton Pkwy,Chicago,41.925858000000005,-87.638973,19,9/20/2013 10:42:10,2013-09-20 10:42:10
293,288,Larrabee St & Armitage Ave,Chicago,41.918084,-87.643749,11,9/12/2013 15:23:17,2013-09-12 15:23:17
295,48,Larrabee St & Kingsbury St,Chicago,41.897764,-87.642884,39,6/25/2013 11:20:37,2013-06-25 11:20:37
296,28,Larrabee St & Menomonee St,Chicago,41.91468,-87.64331999999999,15,6/22/2013 20:38:05,2013-06-22 20:38:05
297,27,Larrabee St & North Ave,Chicago,41.91021,-87.6435,19,6/22/2013 20:31:48,2013-06-22 20:31:48
299,144,Larrabee St & Webster Ave,Chicago ,41.921822,-87.64414000000001,19,7/19/2013 09:20:13,2013-07-19 09:20:13
300,40,LaSalle St & Adams St,Chicago,41.87934437346,-87.63198522129998,15,6/25/2013 01:44:12,2013-06-25 01:44:12
301,181,LaSalle St & Illinois St,Chicago,41.890755,-87.632009,31,7/19/2013 11:15:27,2013-07-19 11:15:27
302,283,LaSalle St & Jackson Blvd,Chicago,41.878170000000004,-87.631985,31,9/11/2013 15:53:40,2013-09-11 15:53:40
303,98,LaSalle St & Washington St,Chicago,41.882664,-87.63253,15,7/15/2013 14:41:02,2013-07-15 14:41:02
306,9,Leavitt St & Archer Ave,Chicago,41.82879201994,-87.6806044594,19,6/21/2013 09:33:32,2013-06-21 09:33:32
307,309,Leavitt St & Armitage Ave,Chicago,41.917805,-87.682437,11,9/19/2013 17:19:44,2013-09-19 17:19:44
308,311,Leavitt St & Lawrence Ave,Chicago,41.968885,-87.684001,19,9/20/2013 09:23:45,2013-09-20 09:23:45
309,213,Leavitt St & North Ave,Chicago,41.910153,-87.68229000000001,15,8/15/2013 11:42:31,2013-08-15 11:42:31
310,330,Lincoln Ave & Addison St,Chicago,41.946176,-87.67330799999999,19,9/25/2013 13:25:17,2013-09-25 13:25:17
311,298,Lincoln Ave & Belle Plaine Ave,Chicago,41.955927,-87.679259,15,9/18/2013 11:51:16,2013-09-18 11:51:16
312,131,Lincoln Ave & Belmont Ave,Chicago ,41.939365,-87.668385,15,7/18/2013 17:57:49,2013-07-18 17:57:49
313,152,Lincoln Ave & Diversey Pkwy,Chicago ,41.932225,-87.658617,15,7/19/2013 09:25:12,2013-07-19 09:25:12
314,127,Lincoln Ave & Fullerton Ave,Chicago ,41.925905,-87.64926,15,7/18/2013 17:55:24,2013-07-18 17:55:24
315,243,Lincoln Ave & Leavitt St,Chicago ,41.962391,-87.684146,15,8/21/2013 16:45:53,2013-08-21 16:45:53
316,230,Lincoln Ave & Roscoe St,Chicago,41.94334,-87.67097,19,8/19/2013 17:20:48,2013-08-19 17:20:48
317,257,Lincoln Ave & Waveland Ave,Chicago,41.94911,-87.675112,15,8/31/2013 12:17:05,2013-08-31 12:17:05
319,258,Logan Blvd & Elston Ave,Chicago,41.930584,-87.685126,19,8/31/2013 14:15:22,2013-08-31 14:15:22
321,146,Loomis St & Jackson Blvd,Chicago ,41.877945000000004,-87.66200699999999,11,7/19/2013 09:21:36,2013-07-19 09:21:36
322,320,Loomis St & Lexington St,Chicago,41.872187,-87.661501,19,9/20/2013 16:26:22,2013-09-20 16:26:22
323,19,Loomis St & Taylor St (*),Chicago,41.869417,-87.660996,16,6/22/2013 19:03:02,2013-06-22 19:03:02
329,58,Marshfield Ave & Cortland St,Chicago,41.916017,-87.668879,23,6/25/2013 11:57:51,2013-06-25 11:57:51
